% Station Blindern, yearly integrated doses and sampling fraction (0=complete loss of measurements, 1=lossfree measurement
% The station was drifted by the University of Oslo in the period 1995-2019 (email: arne.dahlback@fys.uio.no). Instrument was moved to Kjeller in 2019, and is now drifted by NILU - Norwegian Institute for Air Research (email: tove.svendby@nilu.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 15-Feb-2024 11:58:43
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 1995	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	
%
% Columns: Year	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	  3.7549E+05	  3.7856E+05	  2.6423E+06	  1.8236E+08	  7.9788E+05	  1.5583E+05	  5.9971E+05	  1.4308E+04	  3.3765E+06	  4.8212E+08	  6.6618E+03	0.986
1996	  3.7398E+05	  3.7714E+05	  2.6174E+06	  1.8528E+08	  7.9148E+05	  1.5258E+05	  5.8935E+05	  1.4187E+04	  3.4220E+06	  4.8574E+08	  6.6810E+03	0.984
1997	  4.0094E+05	  4.0438E+05	  2.8141E+06	  1.9907E+08	  8.4765E+05	  1.6456E+05	  6.3440E+05	  1.5218E+04	  3.6743E+06	  5.2130E+08	  7.1627E+03	0.996
1998	  3.1383E+05	  3.1673E+05	  2.1574E+06	  1.6902E+08	  6.5342E+05	  1.1922E+05	  4.7108E+05	  1.1673E+04	  3.0855E+06	  4.3891E+08	  5.9872E+03	0.999
1999	  3.5526E+05	  3.5839E+05	  2.4807E+06	  1.8236E+08	  7.4675E+05	  1.4260E+05	  5.5387E+05	  1.3374E+04	  3.3469E+06	  4.8051E+08	  6.6065E+03	0.950
2000	  3.5264E+05	  3.5569E+05	  2.4699E+06	  1.7833E+08	  7.4339E+05	  1.4353E+05	  5.5462E+05	  1.3326E+04	  3.2789E+06	  4.7164E+08	  6.4995E+03	0.980
2001	  3.5970E+05	  3.6273E+05	  2.4931E+06	  1.8664E+08	  7.5603E+05	  1.4149E+05	  5.5356E+05	  1.3485E+04	  3.4181E+06	  4.9981E+08	  6.9245E+03	0.983
2002	  3.7202E+05	  3.7515E+05	  2.6064E+06	  1.8503E+08	  7.8698E+05	  1.5140E+05	  5.8628E+05	  1.4102E+04	  3.4143E+06	  4.8683E+08	  6.7065E+03	0.997
2003	  3.6399E+05	  3.6702E+05	  2.5239E+06	  1.8753E+08	  7.6595E+05	  1.4319E+05	  5.6023E+05	  1.3663E+04	  3.4396E+06	  5.0061E+08	  6.9320E+03	0.997
2004	  3.6756E+05	  3.7041E+05	  2.5451E+06	  1.8611E+08	  7.7698E+05	  1.4318E+05	  5.6464E+05	  1.3827E+04	  3.4256E+06	  4.9878E+08	  6.9366E+03	0.989
2005	  3.6707E+05	  3.6993E+05	  2.5595E+06	  1.8410E+08	  7.7668E+05	  1.4451E+05	  5.6887E+05	  1.3847E+04	  3.3935E+06	  4.9014E+08	  6.8006E+03	0.892
2006	  3.6709E+05	  3.7012E+05	  2.5547E+06	  1.8578E+08	  7.7467E+05	  1.4496E+05	  5.6838E+05	  1.3841E+04	  3.4215E+06	  4.8958E+08	  6.7489E+03	0.999
2007	  3.5491E+05	  3.5762E+05	  2.4580E+06	  1.7881E+08	  7.5140E+05	  1.3966E+05	  5.4773E+05	  1.3358E+04	  3.2903E+06	  4.8447E+08	  6.7709E+03	1.000
2008	  3.7349E+05	  3.7650E+05	  2.5993E+06	  1.8653E+08	  7.9059E+05	  1.4891E+05	  5.8140E+05	  1.4118E+04	  3.4414E+06	  4.9439E+08	  6.8391E+03	0.979
2009	  3.6765E+05	  3.7069E+05	  2.5686E+06	  1.8298E+08	  7.7752E+05	  1.4661E+05	  5.7347E+05	  1.3919E+04	  3.3817E+06	  4.7678E+08	  6.5477E+03	0.988
2010	  3.5359E+05	  3.5674E+05	  2.4418E+06	  1.8498E+08	  7.4048E+05	  1.3523E+05	  5.3563E+05	  1.3233E+04	  3.3966E+06	  4.7532E+08	  6.4681E+03	0.995
2011	  3.5572E+05	  3.5875E+05	  2.4811E+06	  1.7684E+08	  7.5171E+05	  1.4104E+05	  5.5266E+05	  1.3474E+04	  3.2749E+06	  4.5045E+08	  6.1241E+03	0.989
2012	  3.5736E+05	  3.6033E+05	  2.4801E+06	  1.7969E+08	  7.5464E+05	  1.3942E+05	  5.4957E+05	  1.3488E+04	  3.3199E+06	  4.6380E+08	  6.3451E+03	0.974
2013	  3.5999E+05	  3.6293E+05	  2.4801E+06	  1.8600E+08	  7.5748E+05	  1.3844E+05	  5.4696E+05	  1.3482E+04	  3.4152E+06	  4.9338E+08	  6.8249E+03	0.975
2014	  3.8677E+05	  3.8983E+05	  2.7059E+06	  1.9227E+08	  8.1920E+05	  1.5381E+05	  6.0336E+05	  1.4634E+04	  3.5501E+06	  5.0941E+08	  7.0466E+03	0.988
2015	  3.5720E+05	  3.6021E+05	  2.4638E+06	  1.8581E+08	  7.4973E+05	  1.3527E+05	  5.3894E+05	  1.3362E+04	  3.4139E+06	  4.8286E+08	  6.6150E+03	0.996
2016	  3.7400E+05	  3.7702E+05	  2.6031E+06	  1.8456E+08	  7.9248E+05	  1.4695E+05	  5.7889E+05	  1.4172E+04	  3.4220E+06	  4.7442E+08	  6.4865E+03	1.000
