% Station Bergen, yearly integrated doses and sampling fraction (0=complete loss of measurements, 1=lossfree measurement
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 15-Feb-2024 11:57:26
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 2014	2015	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2016	2017	2018	2019	2020	2021	2022	2023	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	  3.4306E+05	  3.4564E+05	  2.4323E+06	  1.6073E+08	  7.3158E+05	  1.4200E+05	  5.4919E+05	  1.3104E+04	  3.0050E+06	  4.0363E+08	  5.4753E+03	0.000
1996	  3.2502E+05	  3.2767E+05	  2.3078E+06	  1.6339E+08	  6.8942E+05	  1.2655E+05	  5.0913E+05	  1.2234E+04	  3.0116E+06	  4.2099E+08	  5.7353E+03	0.893
1997	  3.2961E+05	  3.3232E+05	  2.3477E+06	  1.6330E+08	  7.0159E+05	  1.3121E+05	  5.2352E+05	  1.2460E+04	  3.0123E+06	  4.2299E+08	  5.7638E+03	0.997
1998	  2.7300E+05	  2.7539E+05	  1.8836E+06	  1.4788E+08	  5.6998E+05	  9.9886E+04	  4.0566E+05	  1.0074E+04	  2.6973E+06	  3.7989E+08	  5.1510E+03	0.639
1999	  3.0239E+05	  3.0495E+05	  2.1164E+06	  1.5669E+08	  6.3735E+05	  1.1587E+05	  4.6473E+05	  1.1295E+04	  2.8740E+06	  4.0424E+08	  5.4954E+03	0.823
2000	  3.0705E+05	  3.0949E+05	  2.1748E+06	  1.5432E+08	  6.5067E+05	  1.1950E+05	  4.7943E+05	  1.1556E+04	  2.8437E+06	  4.0128E+08	  5.4973E+03	0.935
2001	  3.0876E+05	  3.1133E+05	  2.1535E+06	  1.6346E+08	  6.4840E+05	  1.1570E+05	  4.6822E+05	  1.1473E+04	  2.9863E+06	  4.2897E+08	  5.8811E+03	0.997
2002	  3.1816E+05	  3.2069E+05	  2.2492E+06	  1.6066E+08	  6.7362E+05	  1.2360E+05	  4.9554E+05	  1.1961E+04	  2.9580E+06	  4.1919E+08	  5.7525E+03	0.991
2003	  3.0587E+05	  3.0828E+05	  2.1395E+06	  1.5619E+08	  6.4475E+05	  1.1807E+05	  4.7007E+05	  1.1460E+04	  2.8721E+06	  4.0922E+08	  5.6326E+03	0.998
2004	  3.1411E+05	  3.1658E+05	  2.1878E+06	  1.6001E+08	  6.6135E+05	  1.2167E+05	  4.8124E+05	  1.1773E+04	  2.9457E+06	  4.1727E+08	  5.7371E+03	0.999
2005	  2.9666E+05	  2.9900E+05	  2.0701E+06	  1.5181E+08	  6.2446E+05	  1.1372E+05	  4.5286E+05	  1.1107E+04	  2.7932E+06	  3.9454E+08	  5.4210E+03	0.882
2006	  3.3433E+05	  3.3703E+05	  2.3277E+06	  1.7057E+08	  7.0404E+05	  1.2977E+05	  5.1284E+05	  1.2529E+04	  3.1390E+06	  4.4212E+08	  6.0503E+03	0.999
2007	  3.1429E+05	  3.1669E+05	  2.2025E+06	  1.5775E+08	  6.6381E+05	  1.2311E+05	  4.8650E+05	  1.1824E+04	  2.9087E+06	  4.1501E+08	  5.7346E+03	1.000
2008	  3.4751E+05	  3.5022E+05	  2.4271E+06	  1.7582E+08	  7.3319E+05	  1.3625E+05	  5.3697E+05	  1.3054E+04	  3.2351E+06	  4.6545E+08	  6.4404E+03	0.996
2009	  3.2671E+05	  3.2935E+05	  2.2809E+06	  1.6259E+08	  6.9036E+05	  1.2979E+05	  5.0769E+05	  1.2314E+04	  3.0068E+06	  4.1516E+08	  5.6490E+03	0.996
2010	  3.1925E+05	  3.2200E+05	  2.1949E+06	  1.6972E+08	  6.6709E+05	  1.1938E+05	  4.7674E+05	  1.1832E+04	  3.1083E+06	  4.3158E+08	  5.8353E+03	1.000
2011	  2.9422E+05	  2.9656E+05	  2.0635E+06	  1.4599E+08	  6.2174E+05	  1.1528E+05	  4.5539E+05	  1.1087E+04	  2.7060E+06	  3.6655E+08	  4.9551E+03	1.000
2012	  3.1621E+05	  3.1875E+05	  2.2114E+06	  1.5965E+08	  6.6660E+05	  1.2222E+05	  4.8547E+05	  1.1869E+04	  2.9492E+06	  4.0367E+08	  5.4664E+03	1.000
2013	  3.0684E+05	  3.0939E+05	  2.1245E+06	  1.5939E+08	  6.4375E+05	  1.1679E+05	  4.6429E+05	  1.1442E+04	  2.9294E+06	  4.0722E+08	  5.5335E+03	0.997
2014	  3.4395E+05	  3.4667E+05	  2.4203E+06	  1.7177E+08	  7.2733E+05	  1.3414E+05	  5.3328E+05	  1.2950E+04	  3.1754E+06	  4.3739E+08	  5.9398E+03	1.000
2015	  2.8734E+05	  2.8976E+05	  1.9856E+06	  1.5128E+08	  6.0083E+05	  1.0636E+05	  4.2808E+05	  1.0665E+04	  2.7804E+06	  3.7703E+08	  5.0580E+03	0.998
