% Station Kise, yearly integrated doses and sampling fraction (0=complete loss of measurements, 1=lossfree measurement
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 15-Feb-2024 11:56:48
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	  3.5938E+05	  3.6250E+05	  2.5350E+06	  1.7623E+08	  7.6284E+05	  1.4523E+05	  5.6758E+05	  1.3660E+04	  3.2575E+06	  4.5685E+08	  6.2722E+03	0.000
1996	  3.7492E+05	  3.7842E+05	  2.6932E+06	  1.9049E+08	  7.9702E+05	  1.4409E+05	  5.9038E+05	  1.4197E+04	  3.4811E+06	  4.9672E+08	  6.8199E+03	0.940
1997	  3.8552E+05	  3.8931E+05	  2.7644E+06	  1.9650E+08	  8.2055E+05	  1.5111E+05	  6.1362E+05	  1.4647E+04	  3.5750E+06	  5.1751E+08	  7.1161E+03	0.994
1998	  3.1255E+05	  3.1571E+05	  2.1776E+06	  1.7266E+08	  6.5373E+05	  1.1349E+05	  4.6858E+05	  1.1599E+04	  3.1163E+06	  4.5252E+08	  6.1948E+03	0.981
1999	  3.5542E+05	  3.5897E+05	  2.5134E+06	  1.8716E+08	  7.5076E+05	  1.3559E+05	  5.5240E+05	  1.3380E+04	  3.3952E+06	  4.8829E+08	  6.6754E+03	1.000
2000	  3.4375E+05	  3.4698E+05	  2.4459E+06	  1.7625E+08	  7.2876E+05	  1.3254E+05	  5.3759E+05	  1.2975E+04	  3.2181E+06	  4.6409E+08	  6.3929E+03	0.978
2001	  3.3851E+05	  3.4185E+05	  2.3838E+06	  1.8025E+08	  7.1315E+05	  1.2734E+05	  5.2008E+05	  1.2683E+04	  3.2698E+06	  4.7276E+08	  6.4834E+03	0.963
2002	  3.5404E+05	  3.5738E+05	  2.5200E+06	  1.8062E+08	  7.5153E+05	  1.3804E+05	  5.5682E+05	  1.3382E+04	  3.2979E+06	  4.7897E+08	  6.6183E+03	0.996
2003	  3.5760E+05	  3.6099E+05	  2.5092E+06	  1.9073E+08	  7.5256E+05	  1.3345E+05	  5.4376E+05	  1.3320E+04	  3.4659E+06	  5.1555E+08	  7.1822E+03	0.999
2004	  3.5780E+05	  3.6098E+05	  2.4808E+06	  1.8449E+08	  7.5258E+05	  1.3857E+05	  5.4583E+05	  1.3377E+04	  3.3921E+06	  4.8620E+08	  6.7116E+03	0.999
2005	  3.6546E+05	  3.6869E+05	  2.5525E+06	  1.8649E+08	  7.7095E+05	  1.4238E+05	  5.6218E+05	  1.3718E+04	  3.4291E+06	  4.9193E+08	  6.7948E+03	0.884
2006	  3.6863E+05	  3.7196E+05	  2.5557E+06	  1.9014E+08	  7.7488E+05	  1.4287E+05	  5.6346E+05	  1.3819E+04	  3.4954E+06	  4.8753E+08	  6.6393E+03	0.983
2007	  3.5608E+05	  3.5920E+05	  2.4868E+06	  1.8120E+08	  7.5155E+05	  1.3888E+05	  5.4795E+05	  1.3348E+04	  3.3360E+06	  4.8323E+08	  6.7130E+03	1.000
2008	  3.6515E+05	  3.6833E+05	  2.5444E+06	  1.8513E+08	  7.7061E+05	  1.4334E+05	  5.6235E+05	  1.3694E+04	  3.4133E+06	  4.9245E+08	  6.8318E+03	0.999
2009	  3.6877E+05	  3.7207E+05	  2.5725E+06	  1.8647E+08	  7.7802E+05	  1.4522E+05	  5.7082E+05	  1.3897E+04	  3.4374E+06	  4.7701E+08	  6.4958E+03	0.997
2010	  3.5043E+05	  3.5370E+05	  2.4114E+06	  1.8859E+08	  7.3150E+05	  1.2989E+05	  5.2190E+05	  1.2998E+04	  3.4436E+06	  4.8410E+08	  6.5870E+03	1.000
2011	  3.6983E+05	  3.7310E+05	  2.5895E+06	  1.8748E+08	  7.8048E+05	  1.4397E+05	  5.7047E+05	  1.3912E+04	  3.4561E+06	  4.8169E+08	  6.5796E+03	0.958
2012	  3.5039E+05	  3.5354E+05	  2.4416E+06	  1.8113E+08	  7.3725E+05	  1.3447E+05	  5.3507E+05	  1.3118E+04	  3.3267E+06	  4.6984E+08	  6.4383E+03	1.000
2013	  3.7153E+05	  3.7492E+05	  2.5635E+06	  1.9575E+08	  7.7832E+05	  1.4012E+05	  5.5793E+05	  1.3837E+04	  3.5867E+06	  5.0824E+08	  6.9704E+03	0.984
2014	  3.7028E+05	  3.7354E+05	  2.6154E+06	  1.8699E+08	  7.8342E+05	  1.4359E+05	  5.7483E+05	  1.3965E+04	  3.4420E+06	  4.8404E+08	  6.6288E+03	0.992
2015	  3.4992E+05	  3.5310E+05	  2.4085E+06	  1.8485E+08	  7.3206E+05	  1.3226E+05	  5.2518E+05	  1.3018E+04	  3.3885E+06	  4.7650E+08	  6.5032E+03	0.996
2016	  3.6406E+05	  3.6750E+05	  2.6159E+06	  1.8493E+08	  7.7274E+05	  1.3922E+05	  5.7331E+05	  1.3838E+04	  3.3832E+06	  4.5657E+08	  6.0982E+03	1.000
2017	  3.6278E+05	  3.6619E+05	  2.5767E+06	  1.8691E+08	  7.6644E+05	  1.3749E+05	  5.6279E+05	  1.3705E+04	  3.4207E+06	  4.6254E+08	  6.1852E+03	0.997
2018	  4.1806E+05	  4.2186E+05	  2.8814E+06	  2.0983E+08	  8.7998E+05	  1.7067E+05	  6.4510E+05	  1.5876E+04	  3.8616E+06	  5.4090E+08	  7.3681E+03	0.955
2019	  3.5678E+05	  3.5992E+05	  2.4921E+06	  1.8334E+08	  7.5133E+05	  1.3692E+05	  5.4594E+05	  1.3382E+04	  3.3705E+06	  4.7188E+08	  6.4449E+03	0.973
2020	  3.9819E+05	  4.0164E+05	  2.7939E+06	  1.9624E+08	  8.4446E+05	  1.6056E+05	  6.2508E+05	  1.5057E+04	  3.6311E+06	  5.1801E+08	  7.1677E+03	0.993
2021	  3.8514E+05	  3.8868E+05	  2.7206E+06	  1.9381E+08	  8.1623E+05	  1.5207E+05	  6.0469E+05	  1.4582E+04	  3.5609E+06	  4.9906E+08	  6.8097E+03	0.997
2022	  3.8065E+05	  3.8412E+05	  2.6734E+06	  1.9389E+08	  8.0394E+05	  1.4810E+05	  5.9010E+05	  1.4345E+04	  3.5622E+06	  4.9747E+08	  6.7814E+03	0.987
2023	  3.8598E+05	  3.8952E+05	  2.7158E+06	  1.9808E+08	  8.1538E+05	  1.4916E+05	  5.9732E+05	  1.4518E+04	  3.6308E+06	  5.1691E+08	  7.0979E+03	1.000
