% Station Nyaalesund, yearly integrated doses and sampling fraction (0=complete loss of measurements, 1=lossfree measurement
% The station is drifted by NILU - Norwegian Institute for Air Research (email: tove.svendby@nilu.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 15-Feb-2024 12:00:45
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	  2.1531E+05	  2.1809E+05	  1.3409E+06	  1.4577E+08	  4.2541E+05	  6.3944E+04	  2.6641E+05	  7.4443E+03	  2.5794E+06	  3.7127E+08	  4.9921E+03	0.659
1996	  2.1568E+05	  2.1870E+05	  1.3313E+06	  1.5280E+08	  4.2392E+05	  6.0405E+04	  2.6005E+05	  7.3571E+03	  2.6830E+06	  3.8584E+08	  5.1593E+03	0.986
1997	  2.1493E+05	  2.1772E+05	  1.3357E+06	  1.4806E+08	  4.2433E+05	  6.1896E+04	  2.6307E+05	  7.3842E+03	  2.6167E+06	  3.7377E+08	  5.0118E+03	0.977
1998	  2.1735E+05	  2.2051E+05	  1.2710E+06	  1.6133E+08	  4.1928E+05	  5.9389E+04	  2.4644E+05	  7.2678E+03	  2.8235E+06	  4.0789E+08	  5.4437E+03	0.962
1999	  1.8418E+05	  1.8716E+05	  1.0847E+06	  1.3941E+08	  3.5600E+05	  5.0124E+04	  2.1148E+05	  6.1510E+03	  2.4203E+06	  3.5487E+08	  4.7381E+03	0.896
2000	  2.1820E+05	  2.2137E+05	  1.3348E+06	  1.5599E+08	  4.2796E+05	  6.1570E+04	  2.6224E+05	  7.4272E+03	  2.7331E+06	  3.9330E+08	  5.2465E+03	0.692
2001	  2.1125E+05	  2.1426E+05	  1.2769E+06	  1.5354E+08	  4.1213E+05	  5.8489E+04	  2.4895E+05	  7.1390E+03	  2.6853E+06	  3.9437E+08	  5.3110E+03	0.842
2002	  2.1487E+05	  2.1781E+05	  1.3115E+06	  1.5405E+08	  4.2082E+05	  6.0106E+04	  2.5652E+05	  7.2922E+03	  2.6999E+06	  3.9808E+08	  5.3847E+03	0.968
2003	  1.9264E+05	  1.9585E+05	  1.1371E+06	  1.4747E+08	  3.7235E+05	  5.1976E+04	  2.2151E+05	  6.4197E+03	  2.5494E+06	  3.7906E+08	  5.0778E+03	0.994
2004	  2.0164E+05	  2.0423E+05	  1.1937E+06	  1.4518E+08	  3.9114E+05	  5.6335E+04	  2.3260E+05	  6.7916E+03	  2.5587E+06	  3.7306E+08	  5.0402E+03	0.958
2005	  2.0756E+05	  2.1029E+05	  1.2443E+06	  1.4628E+08	  4.0503E+05	  5.9518E+04	  2.4428E+05	  7.0645E+03	  2.5836E+06	  3.6704E+08	  4.8923E+03	0.702
2006	  1.8437E+05	  1.8691E+05	  1.0989E+06	  1.3374E+08	  3.5807E+05	  5.0883E+04	  2.1345E+05	  6.2117E+03	  2.3502E+06	  3.3928E+08	  4.5479E+03	0.956
2007	  2.1874E+05	  2.2124E+05	  1.3219E+06	  1.5291E+08	  4.2778E+05	  6.2484E+04	  2.5919E+05	  7.4352E+03	  2.7059E+06	  4.0175E+08	  5.5046E+03	0.993
2008	  2.1040E+05	  2.1300E+05	  1.2582E+06	  1.4981E+08	  4.0988E+05	  5.9549E+04	  2.4655E+05	  7.1160E+03	  2.6414E+06	  3.9033E+08	  5.3155E+03	0.968
2009	  2.3037E+05	  2.3332E+05	  1.3864E+06	  1.6096E+08	  4.5040E+05	  6.6412E+04	  2.7336E+05	  7.8518E+03	  2.8484E+06	  4.0490E+08	  5.4166E+03	0.841
2010	  2.0141E+05	  2.0422E+05	  1.1631E+06	  1.5051E+08	  3.8667E+05	  5.4225E+04	  2.2391E+05	  6.6973E+03	  2.6388E+06	  3.8309E+08	  5.1369E+03	1.000
2011	  2.1706E+05	  2.1974E+05	  1.3285E+06	  1.4868E+08	  4.2664E+05	  6.2890E+04	  2.6169E+05	  7.4457E+03	  2.6402E+06	  3.7053E+08	  4.9411E+03	0.985
2012	  2.1269E+05	  2.1531E+05	  1.2712E+06	  1.4893E+08	  4.1460E+05	  6.0937E+04	  2.4956E+05	  7.2288E+03	  2.6393E+06	  3.7536E+08	  5.0305E+03	0.997
2013	  1.7962E+05	  1.8203E+05	  1.0396E+06	  1.3134E+08	  3.4587E+05	  4.9803E+04	  2.0217E+05	  6.0098E+03	  2.3149E+06	  3.3148E+08	  4.4344E+03	0.822
2014	  2.1290E+05	  2.1571E+05	  1.2844E+06	  1.4946E+08	  4.1612E+05	  6.0780E+04	  2.5217E+05	  7.2521E+03	  2.6420E+06	  3.7203E+08	  4.9479E+03	0.842
2015	  2.1502E+05	  2.1770E+05	  1.2736E+06	  1.5304E+08	  4.1776E+05	  6.1275E+04	  2.4993E+05	  7.2717E+03	  2.7017E+06	  3.9325E+08	  5.3152E+03	0.979
