% Station Trondheim, yearly integrated doses and sampling fraction (0=complete loss of measurements, 1=lossfree measurement
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 15-Feb-2024 11:59:24
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	  2.9917E+05	  3.0178E+05	  2.0497E+06	  1.6061E+08	  6.2469E+05	  1.1149E+05	  4.4540E+05	  1.1078E+04	  2.9321E+06	  4.1850E+08	  5.7546E+03	0.000
1996	  3.1563E+05	  3.1841E+05	  2.2010E+06	  1.6696E+08	  6.6291E+05	  1.1867E+05	  4.7936E+05	  1.1762E+04	  3.0456E+06	  4.3694E+08	  6.0230E+03	0.990
1997	  3.3736E+05	  3.4046E+05	  2.3728E+06	  1.7451E+08	  7.1287E+05	  1.3109E+05	  5.2486E+05	  1.2683E+04	  3.1804E+06	  4.5256E+08	  6.1913E+03	0.997
1998	  2.8656E+05	  2.8932E+05	  1.9474E+06	  1.6253E+08	  5.9357E+05	  1.0213E+05	  4.1613E+05	  1.0490E+04	  2.9335E+06	  4.2415E+08	  5.8063E+03	0.933
1999	  3.1239E+05	  3.1539E+05	  2.1572E+06	  1.7147E+08	  6.5269E+05	  1.1527E+05	  4.6768E+05	  1.1562E+04	  3.0990E+06	  4.4704E+08	  6.1168E+03	0.993
2000	  3.0852E+05	  3.1128E+05	  2.1580E+06	  1.6271E+08	  6.4873E+05	  1.1604E+05	  4.6997E+05	  1.1517E+04	  2.9672E+06	  4.2267E+08	  5.8016E+03	0.981
2001	  3.0098E+05	  3.0380E+05	  2.0685E+06	  1.6593E+08	  6.2750E+05	  1.1033E+05	  4.4685E+05	  1.1111E+04	  3.0041E+06	  4.3550E+08	  5.9899E+03	0.971
2002	  3.3843E+05	  3.4140E+05	  2.3717E+06	  1.7567E+08	  7.1390E+05	  1.3060E+05	  5.2262E+05	  1.2687E+04	  3.2074E+06	  4.6360E+08	  6.4115E+03	0.988
2003	  3.2131E+05	  3.2414E+05	  2.2246E+06	  1.7182E+08	  6.7300E+05	  1.2006E+05	  4.8369E+05	  1.1936E+04	  3.1313E+06	  4.5351E+08	  6.2713E+03	1.000
2004	  3.2583E+05	  3.2853E+05	  2.2342E+06	  1.7303E+08	  6.8059E+05	  1.2203E+05	  4.8567E+05	  1.2084E+04	  3.1729E+06	  4.5633E+08	  6.3265E+03	1.000
2005	  3.0617E+05	  3.0873E+05	  2.1028E+06	  1.6243E+08	  6.3989E+05	  1.1454E+05	  4.5608E+05	  1.1368E+04	  2.9764E+06	  4.2400E+08	  5.8513E+03	0.844
2006	  3.1976E+05	  3.2261E+05	  2.1911E+06	  1.7195E+08	  6.6751E+05	  1.1958E+05	  4.7693E+05	  1.1854E+04	  3.1357E+06	  4.4792E+08	  6.1498E+03	1.000
2007	  3.1218E+05	  3.1472E+05	  2.1560E+06	  1.6191E+08	  6.5526E+05	  1.1982E+05	  4.7346E+05	  1.1657E+04	  2.9771E+06	  4.2964E+08	  5.9786E+03	1.000
2008	  3.3823E+05	  3.4102E+05	  2.3092E+06	  1.7905E+08	  7.0651E+05	  1.2855E+05	  5.0572E+05	  1.2555E+04	  3.2833E+06	  4.7763E+08	  6.6562E+03	0.999
2009	  3.3353E+05	  3.3637E+05	  2.2960E+06	  1.7263E+08	  7.0021E+05	  1.3014E+05	  5.0864E+05	  1.2475E+04	  3.1721E+06	  4.5096E+08	  6.2170E+03	0.974
2010	  3.0470E+05	  3.0748E+05	  2.0537E+06	  1.6750E+08	  6.3148E+05	  1.1197E+05	  4.4391E+05	  1.1211E+04	  3.0552E+06	  4.2931E+08	  5.8483E+03	1.000
2011	  3.1608E+05	  3.1876E+05	  2.1850E+06	  1.6310E+08	  6.6332E+05	  1.2099E+05	  4.7888E+05	  1.1819E+04	  3.0053E+06	  4.1501E+08	  5.6604E+03	1.000
2012	  2.9841E+05	  3.0110E+05	  2.0507E+06	  1.6113E+08	  6.2241E+05	  1.0964E+05	  4.4225E+05	  1.1044E+04	  2.9410E+06	  4.1191E+08	  5.6067E+03	1.000
2013	  3.0619E+05	  3.0886E+05	  2.0716E+06	  1.6599E+08	  6.3603E+05	  1.1345E+05	  4.4892E+05	  1.1297E+04	  3.0369E+06	  4.2988E+08	  5.9009E+03	0.974
2014	  3.2175E+05	  3.2451E+05	  2.2221E+06	  1.6891E+08	  6.7445E+05	  1.2215E+05	  4.8594E+05	  1.1995E+04	  3.0955E+06	  4.3970E+08	  6.0494E+03	1.000
2015	  2.9072E+05	  2.9328E+05	  1.9555E+06	  1.6055E+08	  6.0135E+05	  1.0519E+05	  4.1927E+05	  1.0662E+04	  2.9334E+06	  4.1451E+08	  5.6787E+03	0.980
