% Station Tromsø, yearly integrated doses and sampling fraction (0=complete loss of measurements, 1=lossfree measurement
% UV-measurement terminated in end of 1999, and instrument moved to ALOMAR (Andoya). The station was drifted by NILU - Norwegian Institute for Air Research (email: tove.svendby@nilu.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 02-Mar-2024 14:01:40
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 	
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas), Kjeller (Skjetten): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 	
% Pyranometer-based gapfilling for station Bergen, period 1995-now: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no). Data past 2014 downloaded from https://veret.gfi.uib.no/taarn
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-now: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-now: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-now: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1996	1997	1998	1999	
%
% Columns: Year	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	  2.2690E+05	  2.2910E+05	  1.4857E+06	  1.3975E+08	  4.6096E+05	  7.4157E+04	  3.0757E+05	  8.0709E+03	  2.5071E+06	  3.7208E+08	  5.1404E+03	0.386
1996	  2.6999E+05	  2.7246E+05	  1.8358E+06	  1.5590E+08	  5.5626E+05	  9.1258E+04	  3.8160E+05	  9.8688E+03	  2.8263E+06	  3.9001E+08	  5.2468E+03	0.917
1997	  2.7914E+05	  2.8162E+05	  1.9087E+06	  1.5637E+08	  5.7778E+05	  9.7716E+04	  4.0262E+05	  1.0290E+04	  2.8489E+06	  3.8506E+08	  5.1489E+03	0.965
1998	  2.5954E+05	  2.6205E+05	  1.7027E+06	  1.5890E+08	  5.2728E+05	  8.5628E+04	  3.5256E+05	  9.3330E+03	  2.8506E+06	  4.0364E+08	  5.4553E+03	0.840
1999	  2.2783E+05	  2.3004E+05	  1.4943E+06	  1.3959E+08	  4.6353E+05	  7.5233E+04	  3.0902E+05	  8.2258E+03	  2.5050E+06	  3.4998E+08	  4.6987E+03	0.961
2000	  2.5827E+05	  2.6064E+05	  1.7164E+06	  1.5187E+08	  5.3018E+05	  8.8905E+04	  3.6227E+05	  9.2992E+03	  2.7353E+06	  4.1714E+08	  5.8365E+03	0.000
2001	  2.5031E+05	  2.5272E+05	  1.6293E+06	  1.5381E+08	  5.0886E+05	  8.3437E+04	  3.4077E+05	  8.8917E+03	  2.7537E+06	  4.2251E+08	  5.9063E+03	0.000
2002	  2.7860E+05	  2.8116E+05	  1.8533E+06	  1.6377E+08	  5.7212E+05	  9.5971E+04	  3.9140E+05	  1.0033E+04	  2.9493E+06	  4.4955E+08	  6.2874E+03	0.000
2003	  2.7436E+05	  2.7696E+05	  1.7991E+06	  1.6620E+08	  5.5946E+05	  9.2143E+04	  3.7643E+05	  9.7919E+03	  2.9807E+06	  4.5668E+08	  6.3865E+03	0.000
2004	  2.7744E+05	  2.8007E+05	  1.8236E+06	  1.6761E+08	  5.6616E+05	  9.3217E+04	  3.8140E+05	  9.9096E+03	  3.0073E+06	  4.6050E+08	  6.4406E+03	0.000
2005	  2.6544E+05	  2.6789E+05	  1.7576E+06	  1.5661E+08	  5.4432E+05	  9.1504E+04	  3.7150E+05	  9.5484E+03	  2.8191E+06	  4.3019E+08	  6.0181E+03	0.000
2006	  2.6198E+05	  2.6449E+05	  1.7078E+06	  1.6002E+08	  5.3319E+05	  8.7939E+04	  3.5808E+05	  9.3246E+03	  2.8670E+06	  4.3961E+08	  6.1461E+03	0.000
2007	  2.7840E+05	  2.8097E+05	  1.8450E+06	  1.6443E+08	  5.7087E+05	  9.5675E+04	  3.8932E+05	  1.0011E+04	  2.9595E+06	  4.5147E+08	  6.3148E+03	0.000
2008	  2.7932E+05	  2.8192E+05	  1.8461E+06	  1.6580E+08	  5.7222E+05	  9.5846E+04	  3.8983E+05	  1.0029E+04	  2.9819E+06	  4.5551E+08	  6.3716E+03	0.000
2009	  2.8551E+05	  2.8813E+05	  1.8959E+06	  1.6738E+08	  5.8645E+05	  9.9184E+04	  4.0223E+05	  1.0289E+04	  3.0157E+06	  4.5945E+08	  6.4255E+03	0.000
2010	  2.5567E+05	  2.5815E+05	  1.6639E+06	  1.5860E+08	  5.1877E+05	  8.3685E+04	  3.4466E+05	  9.0563E+03	  2.8355E+06	  4.3572E+08	  6.0914E+03	0.000
2011	  2.8753E+05	  2.9009E+05	  1.9300E+06	  1.6374E+08	  5.9399E+05	  1.0235E+05	  4.1263E+05	  1.0451E+04	  2.9619E+06	  4.4982E+08	  6.2958E+03	0.000
2012	  2.5890E+05	  2.6134E+05	  1.6988E+06	  1.5593E+08	  5.2860E+05	  8.7883E+04	  3.5752E+05	  9.2551E+03	  2.7988E+06	  4.2843E+08	  5.9915E+03	0.000
2013	  2.7926E+05	  2.8187E+05	  1.8368E+06	  1.6702E+08	  5.7100E+05	  9.5536E+04	  3.8771E+05	  1.0004E+04	  3.0007E+06	  4.5858E+08	  6.4115E+03	0.000
2014	  2.7650E+05	  2.7904E+05	  1.8301E+06	  1.6219E+08	  5.6754E+05	  9.6421E+04	  3.8905E+05	  9.9636E+03	  2.9218E+06	  4.4536E+08	  6.2290E+03	0.000
2015	  2.5710E+05	  2.5960E+05	  1.6721E+06	  1.5933E+08	  5.2172E+05	  8.4309E+04	  3.4674E+05	  9.1107E+03	  2.8487E+06	  4.3777E+08	  6.1200E+03	0.000
2016	  2.6001E+05	  2.6248E+05	  1.7013E+06	  1.5764E+08	  5.3000E+05	  8.7560E+04	  3.5673E+05	  9.2760E+03	  2.8274E+06	  4.3320E+08	  6.0590E+03	0.000
2017	  2.6840E+05	  2.7095E+05	  1.7593E+06	  1.6287E+08	  5.4719E+05	  8.9991E+04	  3.6809E+05	  9.5733E+03	  2.9204E+06	  4.4764E+08	  6.2608E+03	0.000
2018	  2.6545E+05	  2.6791E+05	  1.7496E+06	  1.5715E+08	  5.4389E+05	  9.2201E+04	  3.7192E+05	  9.5380E+03	  2.8275E+06	  4.3160E+08	  6.0354E+03	0.000
2019	  2.7274E+05	  2.7532E+05	  1.7906E+06	  1.6493E+08	  5.5645E+05	  9.1803E+04	  3.7509E+05	  9.7383E+03	  2.9587E+06	  4.5318E+08	  6.3377E+03	0.000
2020	  2.8879E+05	  2.9140E+05	  1.9314E+06	  1.6665E+08	  5.9517E+05	  1.0141E+05	  4.1095E+05	  1.0456E+04	  3.0089E+06	  4.5762E+08	  6.4027E+03	0.000
2021	  2.7061E+05	  2.7310E+05	  1.7903E+06	  1.5958E+08	  5.5498E+05	  9.3702E+04	  3.7946E+05	  9.7355E+03	  2.8727E+06	  4.3818E+08	  6.1280E+03	0.000
2022	  2.7139E+05	  2.7391E+05	  1.7948E+06	  1.6062E+08	  5.5620E+05	  9.3392E+04	  3.7923E+05	  9.7535E+03	  2.8901E+06	  4.4103E+08	  6.1682E+03	0.000
2023	  2.7491E+05	  2.7743E+05	  1.8273E+06	  1.6025E+08	  5.6502E+05	  9.6118E+04	  3.8884E+05	  9.9197E+03	  2.8891E+06	  4.3995E+08	  6.1531E+03	0.000
